Table,Table.Column,Column,hash,OS,Column_Total,intersect,Column_Join,Percent_Join
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,10135251217899764268,Windows,68,"arp_cache.address, routes.destination, routes.gateway",24,35.294117647058826
arp_cache,arp_cache.address,address,14584287054518294069,Windows,68,"arp_cache.address, interface_details.dhcp_server, routes.gateway",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,9643527831406345285,Windows,68,"arp_cache.address, interface_details.dhcp_server",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,13330599281882609311,Windows,68,"arp_cache.address, process_open_sockets.remote_address",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,3015320415211759499,Windows,68,"arp_cache.address, routes.gateway",24,35.294117647058826
arp_cache,arp_cache.address,address,13330599281882609311,Windows,68,"arp_cache.address, process_open_sockets.remote_address",24,35.294117647058826
arp_cache,arp_cache.address,address,13330599281882609311,Windows,68,"arp_cache.address, process_open_sockets.remote_address",24,35.294117647058826
arp_cache,arp_cache.address,address,13330599281882609311,Windows,68,"arp_cache.address, process_open_sockets.remote_address",24,35.294117647058826
arp_cache,arp_cache.address,address,10135251217899764268,Windows,68,"arp_cache.address, routes.destination, routes.gateway",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,9643527831406345285,Windows,68,"arp_cache.address, interface_details.dhcp_server",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,9643527831406345285,Windows,68,"arp_cache.address, interface_details.dhcp_server",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,15901763611988458300,Windows,68,"arp_cache.address, routes.destination",24,35.294117647058826
arp_cache,arp_cache.address,address,3015320415211759499,Windows,68,"arp_cache.address, routes.gateway",24,35.294117647058826
arp_cache,arp_cache.interface,interface,12435009471518449139,Windows,21,"arp_cache.interface, interface_details.mac",21,100.0
arp_cache,arp_cache.interface,interface,12435009471518449139,Windows,21,"arp_cache.interface, interface_details.mac",21,100.0
arp_cache,arp_cache.interface,interface,12435009471518449139,Windows,21,"arp_cache.interface, interface_details.mac",21,100.0
arp_cache,arp_cache.interface,interface,12435009471518449139,Windows,21,"arp_cache.interface, interface_details.mac",21,100.0
