OS,PrimTable,SecTable
Windows,pid,current_clock_speed
Windows,pid,max_clock_speed
Windows,pid,port
Windows,pid,gid
Windows,pid,gid_signed
Windows,pid,disk_bytes_read
Windows,pid,disk_bytes_written
Windows,pid,handle_count
Windows,pid,system_time
Windows,pid,wired_size
Windows,pid,user_time
Windows,pid,local_port
Windows,pid,remote_port
Windows,pid,year
Windows,pid,task
Windows,pid,eventid
Windows,pid,task
Windows,pid,tid
Windows,port,current_clock_speed
Windows,port,max_clock_speed
Windows,port,gid
Windows,port,gid_signed
Windows,port,disk_bytes_read
Windows,port,disk_bytes_written
Windows,port,handle_count
Windows,port,system_time
Windows,port,wired_size
Windows,port,user_time
Windows,port,year
Windows,port,task
Windows,port,eventid
Windows,port,task
Windows,port,tid
Windows,port,parent
